epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.805,1.89725,2.43053,1.78732,0.4099,0.39267,0.31737,0.12004,2.01961,2.43508,2.03952,0.000662768,0.000662768,0.000662768
2,233.546,1.86418,2.09251,1.80398,0.44268,0.37871,0.3519,0.12079,2.27635,2.69202,2.21076,0.00130311,0.00130311,0.00130311
3,344.602,1.8994,1.98865,1.80051,0.45345,0.32461,0.32364,0.11952,2.2406,2.73312,2.28043,0.00191706,0.00191706,0.00191706
4,456.021,1.87601,1.92446,1.78285,0.56833,0.38045,0.43327,0.17303,2.10693,2.24718,2.05445,0.0018812,0.0018812,0.0018812
5,567.969,1.84564,1.843,1.76286,0.56205,0.49274,0.48833,0.2044,1.95845,3.33165,1.9167,0.0018416,0.0018416,0.0018416
6,623.574,1.80447,1.74875,1.72642,0.64851,0.47011,0.5426,0.21871,2.03316,1.92221,2.00903,0.001802,0.001802,0.001802
7,674.991,1.79707,1.68804,1.70158,0.61468,0.53454,0.57567,0.24087,1.99863,1.91294,1.94939,0.0017624,0.0017624,0.0017624
8,728.886,1.76636,1.64068,1.7025,0.544,0.43513,0.43973,0.17322,2.20459,3.19901,2.15689,0.0017228,0.0017228,0.0017228
