epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1816,1.89725,2.43053,1.78732,0.4099,0.39267,0.31737,0.12004,2.01961,2.43508,2.03952,0.000662768,0.000662768,0.000662768
2,106.601,1.86418,2.09251,1.80398,0.44268,0.37871,0.3519,0.12079,2.27635,2.69202,2.21076,0.00130311,0.00130311,0.00130311
3,165.424,1.8994,1.98865,1.80051,0.45345,0.32461,0.32364,0.11952,2.2406,2.73312,2.28043,0.00191706,0.00191706,0.00191706
4,213.431,1.87601,1.92446,1.78285,0.56833,0.38045,0.43327,0.17303,2.10693,2.24718,2.05445,0.0018812,0.0018812,0.0018812
5,258.242,1.84564,1.843,1.76286,0.56205,0.49274,0.48833,0.2044,1.95845,3.33165,1.9167,0.0018416,0.0018416,0.0018416
6,302.792,1.80447,1.74875,1.72642,0.64851,0.47011,0.5426,0.21871,2.03316,1.92221,2.00903,0.001802,0.001802,0.001802
7,349.457,1.79707,1.68804,1.70158,0.61468,0.53454,0.57567,0.24087,1.99863,1.91294,1.94939,0.0017624,0.0017624,0.0017624
8,395.549,1.76636,1.64068,1.7025,0.544,0.43513,0.43973,0.17322,2.20459,3.19901,2.15689,0.0017228,0.0017228,0.0017228
9,443.137,1.75203,1.63345,1.68898,0.66831,0.52705,0.61934,0.26931,1.99571,1.83953,1.94239,0.0016832,0.0016832,0.0016832
10,492.817,1.73523,1.58603,1.67578,0.73685,0.60209,0.67281,0.29118,1.93043,1.93739,1.86838,0.0016436,0.0016436,0.0016436
11,551.627,1.72121,1.55573,1.65284,0.68354,0.58639,0.66677,0.29028,1.97218,1.67666,1.89498,0.001604,0.001604,0.001604
12,601.796,1.70049,1.51343,1.64563,0.70848,0.58115,0.65375,0.29669,1.95472,1.671,1.91914,0.0015644,0.0015644,0.0015644
13,645.739,1.68552,1.4645,1.63517,0.68306,0.58988,0.66132,0.29074,1.95963,1.63389,1.9085,0.0015248,0.0015248,0.0015248
14,689.806,1.66296,1.43124,1.61774,0.69924,0.62891,0.69616,0.31521,1.91952,1.57531,1.88034,0.0014852,0.0014852,0.0014852
15,733.555,1.65814,1.42414,1.61805,0.73477,0.59686,0.6776,0.30927,1.88424,1.58835,1.82484,0.0014456,0.0014456,0.0014456
16,777.411,1.65001,1.42966,1.60324,0.71596,0.60384,0.67328,0.30924,1.92133,1.69807,1.87284,0.001406,0.001406,0.001406
17,821.238,1.64013,1.3653,1.60238,0.7136,0.60384,0.66797,0.29518,1.92949,1.61083,1.89257,0.0013664,0.0013664,0.0013664
18,865.107,1.61929,1.35321,1.57629,0.7156,0.61431,0.67861,0.31055,1.89792,1.61337,1.90147,0.0013268,0.0013268,0.0013268
19,909.964,1.61787,1.3143,1.56673,0.72712,0.62478,0.69995,0.32154,1.9625,1.45428,1.87381,0.0012872,0.0012872,0.0012872
