epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,954.287,1.60855,1.30528,1.56703,0.72093,0.64472,0.72133,0.33122,1.87138,1.45417,1.82978,0.0012476,0.0012476,0.0012476
21,998.571,1.59754,1.27853,1.55377,0.74561,0.59847,0.68787,0.31831,1.92984,1.64376,1.86052,0.001208,0.001208,0.001208
22,1043.27,1.58689,1.2647,1.56268,0.71077,0.67365,0.72082,0.32974,1.88989,1.43394,1.83136,0.0011684,0.0011684,0.0011684
23,1087.39,1.55964,1.23485,1.54077,0.70474,0.66318,0.71012,0.33101,1.95014,1.49553,1.90069,0.0011288,0.0011288,0.0011288
24,1131.54,1.57231,1.22006,1.53866,0.72068,0.66318,0.71982,0.3352,1.87527,1.53308,1.81973,0.0010892,0.0010892,0.0010892
25,1175.78,1.54608,1.20342,1.53196,0.77924,0.63525,0.73367,0.34781,1.89741,1.33514,1.83479,0.0010496,0.0010496,0.0010496
26,1219.82,1.5452,1.17228,1.52071,0.71553,0.62333,0.71294,0.33096,1.91417,1.53883,1.83343,0.00101,0.00101,0.00101
27,1263.81,1.5263,1.16766,1.51746,0.7572,0.6719,0.73602,0.34477,1.85673,1.40613,1.81448,0.0009704,0.0009704,0.0009704
28,1308.81,1.509,1.13239,1.49754,0.76247,0.64985,0.72997,0.34641,1.87704,1.37782,1.83476,0.0009308,0.0009308,0.0009308
29,1354.13,1.50963,1.1299,1.49782,0.76904,0.6178,0.72344,0.33317,1.9123,1.41592,1.84336,0.0008912,0.0008912,0.0008912
30,1404.31,1.49858,1.09726,1.47751,0.78015,0.66885,0.73981,0.34819,1.87949,1.37278,1.82093,0.0008516,0.0008516,0.0008516
31,1449.75,1.49907,1.0873,1.48052,0.7741,0.65969,0.73632,0.33655,1.89252,1.43501,1.83743,0.000812,0.000812,0.000812
32,1498.48,1.47043,1.07502,1.47552,0.79705,0.68412,0.75602,0.35086,1.9445,1.40445,1.86089,0.0007724,0.0007724,0.0007724
33,1544.13,1.46243,1.06027,1.45798,0.79116,0.67539,0.74833,0.35354,1.90975,1.36726,1.83938,0.0007328,0.0007328,0.0007328
34,1589.01,1.46414,1.06061,1.45306,0.7667,0.66492,0.73705,0.34544,1.90665,1.28694,1.85353,0.0006932,0.0006932,0.0006932
35,1634.09,1.44984,1.0338,1.44741,0.79091,0.67996,0.76402,0.35909,1.89941,1.29453,1.81862,0.0006536,0.0006536,0.0006536
36,1678.17,1.42027,1.00765,1.43159,0.77517,0.64223,0.73898,0.34507,1.969,1.36678,1.90217,0.000614,0.000614,0.000614
37,1722.5,1.42524,1.00247,1.43279,0.78022,0.65794,0.74331,0.34715,1.96372,1.28648,1.89314,0.0005744,0.0005744,0.0005744
38,1766.9,1.42136,1.00245,1.41939,0.77207,0.6719,0.75491,0.34693,1.93972,1.2805,1.88485,0.0005348,0.0005348,0.0005348
39,1810.85,1.38957,0.97062,1.41002,0.78357,0.66492,0.74912,0.35202,1.93497,1.28766,1.86511,0.0004952,0.0004952,0.0004952
40,1855.25,1.39014,0.96615,1.40201,0.81378,0.65096,0.74093,0.3482,1.94046,1.29526,1.89428,0.0004556,0.0004556,0.0004556
41,1941.34,1.36999,0.85922,1.41795,0.80284,0.67888,0.76881,0.3549,1.93512,1.26764,1.8686,0.000416,0.000416,0.000416
42,1984.34,1.34776,0.80841,1.39653,0.74713,0.71158,0.75671,0.35783,1.91433,1.2591,1.83962,0.0003764,0.0003764,0.0003764
43,2028.93,1.31909,0.79322,1.38832,0.76928,0.69246,0.75982,0.36024,1.88044,1.28765,1.8223,0.0003368,0.0003368,0.0003368
44,2076.4,1.29083,0.77005,1.36504,0.81188,0.63267,0.74456,0.3519,1.91219,1.27114,1.87191,0.0002972,0.0002972,0.0002972
45,2127.52,1.28645,0.75636,1.35368,0.78288,0.68412,0.75097,0.35967,1.92201,1.24514,1.8698,0.0002576,0.0002576,0.0002576
46,2182.69,1.27637,0.7373,1.34685,0.79504,0.66318,0.7517,0.35939,1.90534,1.26305,1.84711,0.000218,0.000218,0.000218
47,2236.21,1.24568,0.72154,1.33162,0.75508,0.70157,0.75672,0.36325,1.90419,1.25964,1.87472,0.0001784,0.0001784,0.0001784
48,2289.32,1.24894,0.71467,1.33272,0.75985,0.71379,0.75585,0.36113,1.90869,1.26987,1.88088,0.0001388,0.0001388,0.0001388
49,2339.8,1.23493,0.70492,1.31639,0.77642,0.69808,0.75509,0.36379,1.88113,1.25559,1.85909,9.92e-05,9.92e-05,9.92e-05
50,2396.48,1.21401,0.69912,1.31391,0.76959,0.69983,0.75877,0.36534,1.8869,1.26388,1.87059,5.96e-05,5.96e-05,5.96e-05
